Категория,Название,Полное название,Ссылка
Антисептики и дезинфекторы,Аммиак 10% раствор,Аммиак раствор для наружного применения и ингаляций 10% 100мл,https://аптека-омск.рф/lek/ammiak-10-r-r-nar-prim-i-ingalyaciy-fl100ml-no1
Антисептики и дезинфекторы,Бриллиантовый,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 10мл,https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirt-1-10ml-fl-tst-iu
Антисептики и дезинфекторы,Эвкалипта настойка,Эвкалипта настойка 25мл,https://аптека-омск.рф/lek/evkalipta-nastoyka-fl-25ml-indup
Антисептики и дезинфекторы,Аммиак,Аммиак раствор для наружного применения и ингаляций 10% 100мл,https://аптека-омск.рф/lek/ammiak-r-r-dnaruzh-prim-i-ingal-10-fl-plast-100-ml-kh1
Антисептики и дезинфекторы,Бриллиантовый зеленый раствор,Бриллиантовый зеленый раствор для наружного применения спиртовой 1% флакон 25мл (отпуск 20шт),https://аптека-омск.рф/lek/brilliantovyy-zelenyy-r-r-dnar-prim-spirt-1-25ml-fl-tst-otpusk-20sht
Антисептики и дезинфекторы,Пустырника настойка,Пустырника настойка 25мл/Тульская фф/,https://аптека-омск.рф/lek/pustyrnika-nastoyka-25ml-indup-tulskaya-ff
Антисептики и дезинфекторы,Эвкалипта настойка,Эвкалипта настойка 25мл,https://аптека-омск.рф/lek/evkalipta-nastoyka-25ml-fl-iu
Антисептики и дезинфекторы,Йод раствор,Йод раствор для наружного применения спиртовой 5% 10мл,https://аптека-омск.рф/lek/yod-rastvor-spirtovoy-5-flakon-polimernyy-10-ml
Антисептики и дезинфекторы,Йод раствор спиртовой,Йод раствор для наружного применения спиртовой 5% 10мл (отпуск 10штук),https://аптека-омск.рф/lek/yod-r-r-dnar-prim-spirtovoy-5-10ml-fl-tst-iu-otpusk-10fl
Антисептики и дезинфекторы,Йод раствор,Йод раствор для наружного применения спиртовой 5% 10мл,https://аптека-омск.рф/lek/yod-r-r-dnar-prim-spirtovoy-5-fl-10ml-no1
Антисептики и дезинфекторы,Йод раствор,Йод раствор для наружного применения спиртовой 5% с помазком 10мл,https://аптека-омск.рф/lek/yod-r-r-spirtovoy-5-10ml-s-pomazkom
Антисептики и дезинфекторы,Гидроперит,Гидроперит таблетки для приготовления раствора для местного применения 1.5 г №8,https://аптека-омск.рф/lek/gidroperit-tabletki-dlya-prigotovleniya-rastvora-dlya-mestnogo-primeneniya-15-g-no8
Антисептики и дезинфекторы,Йод раствор,Йод раствор для наружного применения спиртовой 5% 10мл (отпуск 10штук),https://аптека-омск.рф/lek/yod-r-r-dnar-prim-spirtovoy-5-10ml-fl-tst-otpusk-10fl
Антисептики и дезинфекторы,Гидроперит,Гидроперит таблетки для приготовления раствора для местного применения 1.5 г №8,https://аптека-омск.рф/lek/gidroperit-tabletki-dlya-prigotovleniya-rastvora-dlya-mestnogo-primeneniya-15-g-no8-0
Антисептики и дезинфекторы,Йод,Йод раствор для наружного применения спиртовой 5% 10мл,https://аптека-омск.рф/lek/yod-5-10ml-r-r-dnaruzh-prim-spirtovoy-indupflora-kavkaza
Антисептики и дезинфекторы,Йод раствор,Йод раствор для наружного применения спиртовой 5% с крышкой-лопаткой 10мл,https://аптека-омск.рф/lek/yod-r-r-dnar-prim-spirtovoy-5-10ml-fl-tst-s-krysh-lopat
Антисептики и дезинфекторы,Фурацилин,Фурацилин таблетки 20мг №20,https://аптека-омск.рф/lek/furacilin-tabl-20-mg-kh20
Антисептики и дезинфекторы,Йод раствор,Йод раствор для наружного применения спиртовой 5% 25мл (отпуск 10штук),https://аптека-омск.рф/lek/yod-r-r-dnar-prim-spirtovoy-5-25ml-otpusk-10fl
Антисептики и дезинфекторы,Йод,Йод раствор для наружного применения спиртовой 5% 25мл (отпуск 10штук),https://аптека-омск.рф/lek/yod-r-r-dnar-prim-spirtovoy-5-25ml-fl-tst-otpusk-10fl
Антисептики и дезинфекторы,Йод раствор спиртовой,Йод раствор для наружного применения спиртовой 5% 25мл,https://аптека-омск.рф/lek/yoda-r-r-spirt-5-flvinkr-25-ml-kh1
Антисептики и дезинфекторы,Йод раствор,Йод раствор для наружного применения спиртовой 5% 25мл,https://аптека-омск.рф/lek/yod-5-25ml-r-r-dnaruzh-prim-spirt-flakon-polimersamaramedprom
Антисептики и дезинфекторы,Йод раствор спиртовой,Йод раствор для наружного применения спиртовой 5% 10мл,https://аптека-омск.рф/lek/yod-r-r-dnaruzh-prim-spirtovoy-5-fl-10ml-no1
Антисептики и дезинфекторы,Йод 5%,Йод 5% 25мл раствор для наружного применения спиртовой 5% 25мл,https://аптека-омск.рф/lek/yod-r-r-dnaruzh-prim-spirtovoy-5-fl-25ml-no1
Антисептики и дезинфекторы,Йод,Йод 5% 25мл раствор для наружного применения спиртовой 5% 25мл,https://аптека-омск.рф/lek/yod-5-25ml-r-r-dnaruzh-prim-spirtovoy-flora-kavkaza
Антисептики и дезинфекторы,Ингалокс настойка для ингаляций,Ингалокс эвкалипт настойка для ингаляций и местного применения 25мл,https://аптека-омск.рф/lek/ingaloks-evkalipt-25ml-nastoyka-dlya-ingalyaciy-i-mestnogo-primeneniya
Антисептики и дезинфекторы,Клей бф-6,Клей БФ-6 раствор для наружного применения спиртовой 15г,https://аптека-омск.рф/lek/kley-bf-6-tuba-15-g-1
"Глазные мази, гели и капли",Левомицетин,"Левомицетин капли глазные 0,25% флакон-капельница 5мл",https://аптека-омск.рф/lek/levomicetin-kapli-glaznye-025-flakon-kapelnica-5ml
"Глазные мази, гели и капли",Левомицетин,"Левомицетин капли глазные 0,25% флакон-капельница 10мл (отпуск 10шт)",https://аптека-омск.рф/lek/levomicetin-kapli-glaznye-025-flakon-kapelnica-10ml-otpusk-10sht
"Глазные мази, гели и капли",Таурин глазные капли,Таурин глазные капли 4% флакон-капельница 5мл,https://аптека-омск.рф/lek/taurin-gl-kapli-4-fl-5ml-v-ind
"Глазные мази, гели и капли",Таурин,Таурин капли глазные 4% флакон-капельница 5мл,https://аптека-омск.рф/lek/taurin-kapli-glaz-4-5ml-fl-kap-polim-iu
"Глазные мази, гели и капли",Таурин капли,Таурин капли глазные 4% флакон-капельница 10мл,https://аптека-омск.рф/lek/taurin-4-kapli-glaznye-10ml-fl-kappet-kh1
"Глазные мази, гели и капли",Окупрес-е капли глазные,"Окупрес-е капли глазные 0,25% 5мл",https://аптека-омск.рф/lek/okupres-e-kapli-glaz-025-5-ml-kh1
"Глазные мази, гели и капли",Гидрокортизон мазь глазная,"Гидрокортизон мазь глазная 0,5% 3г",https://аптека-омск.рф/lek/gidrokortizon-maz-glaznaya-05-3g-0
"Глазные мази, гели и капли",Лидокаин,"Лидокаин капли глазные 2% тюбик-капельница 1,5мл №5",https://аптека-омск.рф/lek/lidokain-2-15ml-n5-tyubkap-kapli-glaznye
"Глазные мази, гели и капли",Таурин глазные капли,Таурин капли глазные 4% флакон-капельница 10мл,https://аптека-омск.рф/lek/taurin-kapli-glaznye-4-fl-kapelnica-10ml
"Глазные мази, гели и капли",Гидрокортизон мазь,"Гидрокортизон мазь глазная 0,5% 5г",https://аптека-омск.рф/lek/gidrokortizon-maz-glaznaya-05-5g
"Глазные мази, гели и капли",Гидрокортизон-акос,"Гидрокортизон-акос мазь глазная 0,5% 5г",https://аптека-омск.рф/lek/gidrokortizon-akos-maz-glaznaya-05-5g
"Глазные мази, гели и капли",Окумед капли глазные,"Окумед капли глазные 0,5% флакон-капельница 5мл",https://аптека-омск.рф/lek/okumed-kapli-glaznye-05-flakon-kapelnica-5-ml
"Глазные мази, гели и капли",Сульфацил натрия,Сульфацил натрия капли глазные 20% флакон-капельница 10мл,https://аптека-омск.рф/lek/sulfacil-natriya-albucid-kapli-glaz-20-10ml-fl-kap-iu
"Глазные мази, гели и капли",Пилокарпин капли глазные,Пилокарпин капли глазные 1% тюбик-капельница 5мл,https://аптека-омск.рф/lek/pilokarpin-kapli-glaz-1-5ml-tyub-kap
"Глазные мази, гели и капли",Таурин,Таурин Реневал капли глазные 4% тюбик-капельница 10мл,https://аптека-омск.рф/lek/taurin-reneval-kapli-glaz-4-10ml-tyub-kap-polim-iu
"Глазные мази, гели и капли",Тетрациклин,Тетрациклин мазь глазная 1% туба 5г (отпуск 5шт),https://аптека-омск.рф/lek/tetraciklin-maz-glaznaya-1-5g-tuby-iuotpusk-5sht
"Глазные мази, гели и капли",Ципролет,Ципролет капли глазные 3мг/мл флакон-капельница 5мл,https://аптека-омск.рф/lek/ciprolet-kapli-gl-3mgml-5ml-fl-kap
"Глазные мази, гели и капли",Ципрофлоксацин-оптик,Ципрофлоксацин-оптик капли глазные 0.3% 5мл,https://аптека-омск.рф/lek/ciprofloksacin-optik-kapli-glaznye-03-5ml
"Глазные мази, гели и капли",Окумед капли глазные,"Окумед капли глазные 0,5% флакон-капельница 10мл",https://аптека-омск.рф/lek/okumed-kapli-glaznye-05-flakon-kapelnica-10-ml
"Глазные мази, гели и капли",Гидрокортизон мазь глазная,"Гидрокортизон-ПОС мазь глазная 1% 2,5г",https://аптека-омск.рф/lek/gidrokortizon-pos-maz-glaznaya-1-25-g
"Глазные мази, гели и капли",Цинка сульфат-Диа,"Цинка сульфат-Диа капли глазные 0,25% флакон-капельница 5мл",https://аптека-омск.рф/lek/cinka-sulfat-dia-flkap-indup-5-ml-kh1
"Глазные мази, гели и капли",Таурин,Таурин Реневал глазные капли 4% тюбик-капельница 10мл,https://аптека-омск.рф/lek/taurin-reneval-gl-kapli-4-tyub-kapelnica-10ml-no1-renewal
"Глазные мази, гели и капли",Офтан,"Офтан Тимолол капли глазные 0,5% 5мл",https://аптека-омск.рф/lek/oftan-timolol-gl-kapli-05-5ml-0
"Глазные мази, гели и капли",Цинка сульфат-Диа,"Цинка сульфат-Диа капли глазные 0,25% флакон-капельница 10мл (отпуск 5шт)",https://аптека-омск.рф/lek/cinka-sulfat-dia-kapli-glaz-025-10ml-fl-kapotpusk-5sht
"Глазные мази, гели и капли",Левофлоксацин,"Левофлоксацин капли глазные 0,5% 5мл",https://аптека-омск.рф/lek/levofloksacin-kapli-glaznye-05-5ml
"Глазные мази, гели и капли",Корфецин,"Корфецин солофарм капли глазные 0,5% фл 5мл",https://аптека-омск.рф/lek/korfecin-solofarm-kapli-glaznye-05-fl-5-ml
"Глазные мази, гели и капли",Ципромед,"Ципромед капли глазные 0,3% флакон-капельница 5мл",https://аптека-омск.рф/lek/cipromed-kapli-glaznye-03-flakon-kapelnica-5-ml
"Глазные мази, гели и капли",Левомицетин,"Левомицетин реневал капли глазные 0,25% тюбик-капельница 10мл",https://аптека-омск.рф/lek/levomicetin-reneval-kapli-glaznye-025-tyubik-kapelnica-10-ml
"Глазные мази, гели и капли",Искусственная слеза,"Искусственная слеза капли глазные 0,5% 10мл",https://аптека-омск.рф/lek/iskusstvennaya-sleza-kapli-glaz-05-10ml-fl-iu
"Глазные мази, гели и капли",Сульфацил натрия,Сульфацил натрия капли глазные 20% тюбик-капельница 2мл №2,https://аптека-омск.рф/lek/sulfacil-natriya-kapli-glaz-20-2ml-no2-tyub-kap-polim-iu
"Глазные мази, гели и капли",Левофлоксацин,"Левофлоксацин-оптик капли глазные 0,5% 5мл",https://аптека-омск.рф/lek/levofloksacin-optik-kapli-glaznye-05-5ml
"Глазные мази, гели и капли",Таустин,Таустин капли глазные 4% флакон-капельница 10мл,https://аптека-омск.рф/lek/taustin-kapli-glaz-4-10ml-fl-kap-iu
"Глазные мази, гели и капли",Бетаксолол,"Бетаксолол капли глазные 0,5% флакон-капельница 5мл",https://аптека-омск.рф/lek/betaksolol-kapli-glaz-05-fl-5-ml-kh1
"Глазные мази, гели и капли",Гидрокортизон,"Гидрокортизон мазь глазная 0,5% 3г",https://аптека-омск.рф/lek/gidrokortizon-maz-glaznaya-05-3g
"Глазные мази, гели и капли",Сульфацил натрия,"Сульфацил натрия Солофарм капли глазные 20% тюбик-капельница 0,5мл №5",https://аптека-омск.рф/lek/sulfacil-natriya-solofarm-kapli-glaz-20-05ml-tyub-kap-no5-iu
"Глазные мази, гели и капли",Дексаметазон,"Дексаметазон глазные капли 0,1% флакон с крышкой-капельницей 5мл",https://аптека-омск.рф/lek/deksametazon-glaznye-kapli-01-flakon-s-kryshkoy-kapelnicey-5ml
"Глазные мази, гели и капли",Дикло-ф,"Дикло-ф капли глазные 0,1% флакон 5мл",https://аптека-омск.рф/lek/diklo-f-kapli-glaznye-01-flakon-5-ml
"Глазные мази, гели и капли",Сульфацил натрия,Сульфацил натрия Солофарм капли глазные 20% флакон-капельница 5мл,https://аптека-омск.рф/lek/sulfacil-natriya-solofarm-kapli-glaz-20-5ml-fl-kap-iu
"Глазные мази, гели и капли",Левофлоксацин,"Левофлоксацин капли глазные 0,5% 5мл",https://аптека-омск.рф/lek/levofloksacin-kapli-glaznye-05-5ml-0
"Глазные мази, гели и капли",Дексаметазон капли глазные,"Дексаметазон реневал капли глазные 0,1% тюбик-капельница 10мл",https://аптека-омск.рф/lek/deksametazon-reneval-kapli-glaznye-01-tyubik-kapelnica-10ml
Противопростудные комплексы,Кальцекс,Кальцекс таблетки 500мг №10,https://аптека-омск.рф/lek/kalceks-tab-500mg-no10-0
Противопростудные комплексы,Кальцекс,Кальцекс таблетки 500мг №10,https://аптека-омск.рф/lek/kalceks-tab-500mg-no10
Противопростудные комплексы,Антигриппин,Антигриппин порошок для приготовления раствора для приема внутрь мёд-лимон №3,https://аптека-омск.рф/lek/antigrippin-poroshok-dlya-prigotovleniya-rastvora-dlya-priema-vnutr-myod-limon-no3-0
Противопростудные комплексы,Линкас орви гранулы,"Линкас орви гранулы для приготовления раствора для приёма внутрь 5,6г саше №5 акция (цена действительна при покупке 2-х упаковок)",https://аптека-омск.рф/lek/linkas-orvi-granuly-dlya-prigotovleniya-rastvora-dlya-priyoma-vnutr-56g-sashe-no5-akciya-cena
Противопростудные комплексы,Линкас орви,"Линкас орви гранулы для приготовления раствора для приёма внутрь лимонные 5,6г саше №5",https://аптека-омск.рф/lek/linkas-orvi-gran-dpr-r-ra-dpr-vnutr-limonnye-sashe-56g-no5
Противопростудные комплексы,Анвимакс,АнвиМакс порошок для приготовления раствора для приёма внутрь чёрносмородиновый пакетики 5г №3,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no3-chyornosmorodinovyy
Противопростудные комплексы,Анвимакс порошок,АнвиМакс порошок для приготовления раствора для приёма внутрь клюквенный пакетики 5г №3,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no3-klyukva
Противопростудные комплексы,Анвимакс,АнвиМакс порошок для приготовления раствора для приёма внутрь лимонный с мёдом пакетики 5г №3,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no3-limonnyy-s-myodom
Противопростудные комплексы,Анвимакс,АнвиМакс порошок для приготовления раствора для приёма внутрь малиновый пакетики 5г №3,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no3-malina
Противопростудные комплексы,Анвимакс,АнвиМакс порошок для приготовления раствора для приёма внутрь лимонный пакетики 5г №3,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no3-limonnyy-0
Противопростудные комплексы,Бальзам золотая звезда,Бальзам золотая звезда мазь 4г,https://аптека-омск.рф/lek/balzam-zolotaya-zvezda-maz-4g
Противопростудные комплексы,Антигриппин,Антигриппин-АНВИ капсулы №20,https://аптека-омск.рф/lek/antigrippin-anvi-kapsuly-no20
Противопростудные комплексы,Антигриппин,Антигриппин порошок для приготовления раствора для приема внутрь мёд-лимон №3,https://аптека-омск.рф/lek/antigrippin-poroshok-dlya-prigotovleniya-rastvora-dlya-priema-vnutr-myod-limon-no3
Противопростудные комплексы,Риниколд,РиниКолд Макс таблетки №10,https://аптека-омск.рф/lek/rinikold-maks-tabletki-no10
Противопростудные комплексы,Зовиракс,Зовиракс крем 5% 5г,https://аптека-омск.рф/lek/zoviraks-krem-5-5g
Противопростудные комплексы,Мигрениум,Мигрениум таблетки покрытые плёночной оболочкой 65мг+500мг №20,https://аптека-омск.рф/lek/migrenium-tabletki-ppo-65mg500mg-no20
Противопростудные комплексы,Звездочка флю порошок,Звездочка флю порошок для приготовления раствора для приема внутрь со вкусом апельсина пакетики №5,https://аптека-омск.рф/lek/zvezdochka-flyu-poroshok-dlya-prigotovleniya-rastvora-dlya-priema-vnutr-so-vkusom-apelsina-0
Противопростудные комплексы,Антигриппин,Антигриппин аптекарский капсулы №20,https://аптека-омск.рф/lek/antigrippin-aptekarskiy-kaps-kh20
Противопростудные комплексы,Максиколд,Максиколд рино порошок со вкусом лимона №5,https://аптека-омск.рф/lek/maksikold-rino-poroshok-so-vkusom-limona-no5
Противопростудные комплексы,Звездочка флю порошок,Звездочка флю порошок для приготовления раствора для приема внутрь со вкусом малина пакетики №5,https://аптека-омск.рф/lek/zvezdochka-flyu-poroshok-dlya-prigotovleniya-rastvora-dlya-priema-vnutr-so-vkusom-malina-0
Противопростудные комплексы,Звездочка флю порошок,Звездочка флю порошок для приготовления раствора для приема внутрь со вкусом лимона пакетики №5,https://аптека-омск.рф/lek/zvezdochka-flyu-poroshok-dlya-prigotovleniya-rastvora-dlya-priema-vnutr-so-vkusom-limona-0
Противопростудные комплексы,Максиколд рино порошок,Максиколд рино порошок со вкусом апельсина №5,https://аптека-омск.рф/lek/maksikold-rino-poroshok-so-vkusom-apelsina-no5
Противопростудные комплексы,Максиколд,Максиколд рино порошок со вкусом малины №5,https://аптека-омск.рф/lek/maksikold-rino-poroshok-so-vkusom-maliny-no5
Противопростудные комплексы,Риниколд хоткап,РиниКолд ХотКап порошок для приготовления раствора для приема внутрь со вкусом ананаса 5г саше №5,https://аптека-омск.рф/lek/rinikold-khotkap-por-dprig-r-ra-dvn-priema-pak5g-no5-ananas
Противопростудные комплексы,Риниколд хоткап,РиниКолд ХотКап порошок для приготовления раствора для приема внутрь со вкусом апельсина 5г саше №5,https://аптека-омск.рф/lek/rinikold-khotkap-por-dprig-r-ra-dvn-priema-pak5g-no5-apelsin
Противопростудные комплексы,Риниколд хоткап,РиниКолд ХотКап порошок для приготовления раствора для приема внутрь со вкусом лимона 5г саше №5,https://аптека-омск.рф/lek/rinikold-khotkap-por-dprig-r-ra-dvn-priema-pak5g-no5-limon
Противопростудные комплексы,Дуоколд,Дуоколд набор порошков для приготовления раствора для приёма внутрь со вкусом лимона день 5г №3/ночь 5г №1,https://аптека-омск.рф/lek/duokold-por-dpr-r-ra-dpr-vnktr-pak-limon-den-no3noch-no1-bsakhara
Противопростудные комплексы,Дуоколд,Дуоколд набор порошков для приготовления раствора для приёма внутрь со вкусом клюквы день 5г №3/ночь 5г №1,https://аптека-омск.рф/lek/duokold-por-dprig-r-ra-klyukva-nabor-den-kh3noch-kh1-kh1
Противопростудные комплексы,Ринзасип,Ринзасип с витамином с порошок для раствора для приема внутрь (лимон) 5 г саше № 5,https://аптека-омск.рф/lek/rinzasip-s-vitaminom-s-poroshok-dlya-r-ra-dlya-priema-vnutr-limon-5-g-sashe-no-5
Противопростудные комплексы,Антигриппин-Экспресс,"Антигриппин-Экспресс порошок для приготовления раствора для приёма внутрь малина пакетики 13,1г №6",https://аптека-омск.рф/lek/antigrippin-ekspress-por-dprig-r-ra-dvnut-prim-malina-pak-131-g-kh6
Противопростудные комплексы,Простудокс,Простудокс порошок для приготовления раствора для приёма внутрь со вкусом лимона пакеты 5г №5,https://аптека-омск.рф/lek/prostudoks-por-dpr-r-ra-dpr-vnutr-pak-5g-no5-so-vkusom-limona
Противопростудные комплексы,Ринза,Ринза таблетки №10,https://аптека-омск.рф/lek/rinza-tabletki-no10
Противопростудные комплексы,Ринзасип с витамином,Ринзасип с витамином порошок для раствора для приема внутрь (черно смород) 5 г саше № 5,https://аптека-омск.рф/lek/rinzasip-s-vitaminom-s-poroshok-dlya-r-ra-dlya-priema-vnutr-chernosmorod-5-g-sashe-no-5
Противопростудные комплексы,Ринзасип,Ринзасип с витамином С порошок для приготовления раствора для приёма внутрь со вкусом апельсина саше 5г №5,https://аптека-омск.рф/lek/rinzasip-s-vitaminom-s-poroshok-dlya-r-ra-dlya-priema-vnutr-apelsin-5-g-sashe-no-5
Противопростудные комплексы,Доктор мом,Доктор Мом Фито мазь для наружного применения 20г,https://аптека-омск.рф/lek/doktor-mom-fito-maz-dlya-naruzhnogo-primeneniya-20-g-0
Противопростудные комплексы,Линкас орви гранулы,"Линкас орви гранулы для приготовления раствора для приёма внутрь лимонные 5,6г саше №10 Акция (цена действительна при заказе 2-х упаковок)",https://аптека-омск.рф/lek/linkas-orvi-granuly-dlya-prigotovleniya-rastvora-dlya-priyoma-vnutr-limonnye-56g-sashe-no10
Противопростудные комплексы,Антигриппин-Экспресс,"Антигриппин-Экспресс порошок для приготовления раствора для приёма внутрь лимон пакетики 13,1г №6",https://аптека-омск.рф/lek/antigrippin-ekspress-por-dprig-r-ra-dvnut-prim-limon-pak-131-g-kh6
Противопростудные комплексы,Анвимакс,АнвиМакс порошок для приготовления раствора для приёма внутрь чёрносмородиновый пакетики 5г №6,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no6-chyornosmorodinovyy
Противопростудные комплексы,Анвимакс порошок,АнвиМакс порошок для приготовления раствора для приёма внутрь клюквенный пакетики 5г №6,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no6-klyukva
Противопростудные комплексы,Анвимакс,АнвиМакс порошок для приготовления раствора для приёма внутрь лимонный с мёдом пакетики 5г №6,https://аптека-омск.рф/lek/anvimaks-por-k-dlya-prig-ya-r-ra-dlya-priema-vnutr-5g-no6-limonnyy-s-myodom
Лечение некотиновой зависимости,Табакум-Плюс,Табакум-Плюс гранулы гомеопатические 20г,https://аптека-омск.рф/lek/tabakum-plyus-200-granuly-gomeopat
Лечение некотиновой зависимости,Никоретте для рассасывания,Никоретте таблетки для рассасывания покрытые пленочной оболочкой фруктовые 2мг №20,https://аптека-омск.рф/lek/nikorette-tab-drass-ppo-fruktovye-2mg-fl-no20
Лечение некотиновой зависимости,Никоретте для рассасывания,Никоретте таблетки для рассасывания покрытые пленочной оболочкой мятные 2мг №20,https://аптека-омск.рф/lek/nikorette-tab-drass-ppo-myatnye-2mg-fl-no20
Лечение некотиновой зависимости,резинка жевательная лекарственная,Никоретте резинка жевательная лекарственная свежие фрукты 2мг №30,https://аптека-омск.рф/lek/nikorette-rezinki-zhevatelnye-2mg-no30-svezhie-frukty
Лечение некотиновой зависимости,резинка жевательная лекарственная,Никоретте резинка жевательная лекарственная свежая мята 2мг №30,https://аптека-омск.рф/lek/nikorette-rezinki-zhevatelnye-2mg-no30-svezhaya-myata
Лечение некотиновой зависимости,резинка жевательная лекарственная,Никоретте резинка жевательная лекарственная морозная мята 2мг №30,https://аптека-омск.рф/lek/nikorette-rezinki-zhevatelnye-2mg-no30-moroznaya-myata
Лечение некотиновой зависимости,резинка жевательная лекарственная,Никоретте резинка жевательная лекарственная свежие фрукты 4мг №30,https://аптека-омск.рф/lek/nikorette-rezinki-zhevatelnye-4mg-no30-svezhie-frukty
Лечение некотиновой зависимости,Никоретте для рассасывания,Никоретте таблетки для рассасывания покрытые пленочной оболочкой фруктовые 4мг №20,https://аптека-омск.рф/lek/nikorette-tab-drass-ppo-fruktovye-4mg-fl-no20
Лечение некотиновой зависимости,Табакетте,Табакетте таблетки покрытые пленочной оболочкой 1,5мг №100,https://аптека-омск.рф/lek/tabakette
Лечение некотиновой зависимости,резинка жевательная лекарственная,Никоретте резинка жевательная лекарственная морозная мята 4мг №30,https://аптека-омск.рф/lek/nikorette-rezinki-zhevatelnye-4mg-no30-moroznaya-myata
Лечение некотиновой зависимости,резинка жевательная лекарственная,Никоретте резинка жевательная лекарственная свежая мята 4мг №30,https://аптека-омск.рф/lek/nikorette-rezinki-zhevatelnye-4-mg-no30-svezhaya-myata
Лечение некотиновой зависимости,Никоретте для рассасывания,Никоретте таблетки для рассасывания покрытые пленочной оболочкой мятные 4мг №20,https://аптека-омск.рф/lek/nikorette-tab-drass-ppo-myatnye-4mg-fl-no20
